name,Location,Date,Fatalities,Regugees,Narrative/Notes,Source,Overflow,lon,lat
Lowman Lynchings,"Aiken, South Carolina",25-Apr-1925,"4","1","On April 25, 1925, Aiken sheriff H.H. Howard received an allegedly anonymous tip that the Lowman family was selling whiskey.  Accompanied by three deputies, the sheriff made his way to the Lowman home armed, supposedly, with a legal search warrant to investigate.  As the four plainly dressed men approached the home, Sam Lowman, the black sharecropper who owned the home and surrounding farm, was away having cornmeal ground at the local mill.  His wife, Annie, and daughter, Bertha, were at work either inside the house or in the yard nearby.  Shortly after the law enforcement officers arrived, Lowman’s son, Demon, and nephew, Clarence, who had been plowing a field some one hundred yards away, ran to the house to assist the family members inside.  In the brief moments that followed, gunshots were exchanged.  Demon, Bertha, and Clarence were shot, and Sheriff Howard and Annie Lowman died. The three Lowman children, and two other family members were arrested and all five were promptly tried on charges of murder.  Demon, Clarence, and Bertha were each convicted.  The fourteen-year-old Clarence and his cousin Demon were sentenced to die and Bertha was sentenced to life in prison. Sam Lowman received a two-year sentence on the chain gang.  Later that month, N.J. Frederick, one of the only African American lawyers in SC and a leading NAACP official, defended the Lowmans and convinced the state Supreme Court to order a new trial.  On October 5, 1926, he won a directed verdict of “not guilty” for Demon Lowman and had poked holes in the cases against Clarence and Bertha. After the trial, Demon was arrested on new charges and the three Lowman youths were returned to the Aiken jail.  In the early morning hours, a white mob, assisted by Aiken deputies, removed them from the jail and drove them to an old tourist camp outside of Aiken where a large crowd had gathered.  After being ordered to line up and run, they were shot down by members of the mob.  Despite national outrage, the killers were never brought to justice.

Source: Peter Lau, Democracy Rising: South Carolina and the Fight for Black Equality since 1865 (Lexington: University of Kentucky Press, 2006), 58-59. ",,,-81.721952,33.5598586
Dix River Dam project riot,"Dix Dam, Kentucky",11-Nov-1924,"0",Unknown,300-500 of 700 African American workers driven off site,http://nkaa.uky.edu/record.php?note_id=1553,,-84.7041093,37.7856801
Spruce Pine Pogrom,"Spruce Pine, Mitchell County, North Carolina",26-Sep-1923,Unknown,100+,"In conjunction with the arrest and trial of a black man alleged to have raped a white woman, armed local men rounded up every Black person (men, women, children) they could find in the county, forced them into boxcars on a south-bound railroad train, and sent them south into neighbouring South Carolina. Subsequently, the governor of NC sent several contingents of troops into the region to try to maintain order. These deployments are no doubt detailed in state archives. As the result of the forced expulsions, there were reportedly no Blacks left in the county. People of African-American ancestry are a very small minority in the county today.",http://goo.gl/8ewSd4,,-82.066411,35.9147787
Blanford riot,"Blanford, Indiana",30-Jan-1923,"2",Unknown,White mob opened fire on African American shopkeepers after alleged rape case in the town.,http://goo.gl/Gy6nSA,,-87.5205765,39.6650358
Rosewood Massacre,"Rosewood, Florida",1-Jan-1923,7+,150+,"Summary from Blackpast.org: ""On January 1, 1923 a massacre was carried out in the small, predominantly black town of Rosewood in Central Florida. The massacre was instigated by the rumor that a white woman, Fanny Taylor, had been sexually assaulted by a black man in her home in a nearby community.  A group of white men, believing this rapist to be a recently escaped convict named Jesse Hunter who was hiding in Rosewood, assembled to capture this man. Prior this event a series of incidents had stirred racial tensions within Rosewood.  During the previous winter of 1922 a white school teacher from Perry had been murdered and on New Years Eve of 1922 there was a Ku Klux Klan rally held in Gainesville, located not far away from Rosewood.""",https://goo.gl/2IuueZ,,-82.9320641,29.2391314
Longwood whippings,"Longwood, Orlando, Florida",13-Aug-1921,"0",Unknown,"Two African Americans were abducted, detained and whipped by a group of masked men (KKK)",http://nwspprs.com/1hpj4,,-81.3386788,28.7183292
Tulsa Pogrom,"Tulsa, Oklahoma",31-May-1921,50-300+,"10,000+","The Tulsa pogrom ""resulted in the Greenwood District, also known as 'the Black Wall Street' and the wealthiest black community in the United States, being burned to the ground. During the 16 hours of the assault, more than 800 people were admitted to local white hospitals with injuries (the two black hospitals were burned down), and police arrested and detained more than 6,000 black Greenwood residents at three local facilities.[2]:108–109 An estimated 10,000 blacks were left homeless, and 35 city blocks composed of 1,256 residences were destroyed by fire. The official count of the dead by the Oklahoma Department of Vital Statistics was 39, but other estimates of black fatalities vary from 55 to about 300.""",http://goo.gl/mNSiyd,,-95.9929113,36.1556805
Beech Bottom Race Riot,"Beech Bottom, West Virginia",29-Apr-1921,"0",Unknown,"""The mob spirit developed soon after news was received in Beech Bottom of the outrage and many colored citizens were warned by friends that they had better leave the community. No violence was shown, however, till after dark when a crowd collected and made a tour of the colored section. Families were roused from their beds and informed that they had till noon Sunday to get out, these warnings bringing punctuated with a fusillade of shot. From one refugee, a woman who with two small children, is now staying at the Veise Hotel on Market street, it was learned that the mob numbered at times 75 men and boys, some of the latter appearing not more than 14 years old, and all armed with rifles, revolvers and shot-guns.""",http://goo.gl/IodUrA,,-80.6514658,40.2264597
Norlina riot,"Norlina, North Carolina",22-Jan-1921,2+,Unknown,"After altercation between whites and blacks, 13 African Americans were arrested, 0 whites. Afterwards a white mob surrounded the prison as they planned to lynch all 13.",http://nwspprs.com/1oshm,,-78.1982132,36.4456097
Duluth Lynchings,"Duluth, Minnesota",15-Jun-1920,"3",N/A,"""Police arrest a group of black circus workers who were wrongly accused of raping a white woman. On the evening of June 15, 1920 a mob of 5,000 - 10,000 pull three of them out of the jail. They are dragged through a crowd that beats and subsequently hangs them from a lamp post.""",http://www.claytonjacksonmcghie.org/?page_id=122,,-92.1251218,46.7729322
Ocoee Massacre,"Ocoee, Florida",11-Feb-1920,35+,500+,"""Florida's Election Day in 1920 was the single bloodiest day in modern American political history. African Americans throughout Florida who were trying to register as well as to vote were beaten, driven out of their home counties, and assassinated.""",http://goo.gl/jaqwi7,,-81.544117,28.5695186
Lexington riot,"Lexington, Kentucky",11-Feb-1920,Unknown,Unknown,"A mob at Lexington, Kentucky, seeking to lynch a negro murdered, sacked the courthouse, looted the shops, and fought the soldiers. Four persons were killed. The negro, who had been sen tenced to death, was secreted in an other city. [full text]",http://goo.gl/5Ik71a,,-84.4970393,38.0464066
Corbin race riot,"Corbin, Kentucky",30-Oct-1919,Unknown,Unknown,"""On October 29, 1919, in the railroad town of Corbin, KY, a white man was attacked and robbed by two white men with painted black faces. The next day a vigilante mob took revenge on the African American community, searching homes and businesses and eventually forcing the African American railroad workers into boxcars and shipping them south to Knoxville.""",http://nkaa.uky.edu/record.php?note_id=1215,,-84.0968761,36.9486986
Charleston race riot,"Charleston, South Carolina",5-Oct-1919,"3",unknown (40+ African Americans were shot and beaten by the mob),"A fight between between local blacks and a group of white Navy sailors which began inside a pool hall spilled into the streets.  “In the ensuing melee, two white sailors, George Holloday and Jacob Cohen, shot and killed Isaac Doctor, an unarmed black man who was likely involved in the initial scuffle inside.”  Soon, a full scale riot broke out as the sailors chased the crowd of black men into Charleston’s segregated district. “As the mob gave chase down King and Meeting streets…sailors broke into two local shooting galleries and armed themselves with small caliber rifles and ammunition. Once fully armed, members of the mob fired indiscriminately into crowds of black people ducking into alleyways and scurrying for cover.” Reported to be “several thousand” strong, the mob controlled the downtown area by midnight.  By then, Black Charlestonians had armed themselves to fight back. The Marines were called in to restore order.

Source: Peter Lau, Democracy Rising: South Carolina and the Fight for Black Equality since 1865 (Lexington: University of Kentucky Press, 2006), 50-53.
",https://goo.gl/Eb785n,,-79.9402728,32.7876012
Elaine Massacre,"Elaine, Arkansas",30-Sep-1919,100-200+,Unknown,"""It is documented that five whites, including a soldier died at Elaine, but estimates of African American deaths, made by individuals writing about the Elaine affair between 1919 and 1925, range from 20 to 856; if accurate, these numbers would make it by far the most deadly conflict in the history of the United States.""",https://goo.gl/CE5vIq,,-90.8520531,34.3084371
Chicago race riot,"Chicago, Illinois",27-Jul-1919,38+,unknown,Casualties comprised of 23 blacks and 15 whites. 600+ injured,http://goo.gl/fFM4mv,,-87.6244212,41.8755616
Bloomington race riots,"Bloomington, Indiana",31-Jul-1919,unknown,unknown,from Dr. Haynes Oct 1919 report. Detail to be added.,http://goo.gl/fNI9j3,,-86.5342881,39.1670396
Hattlesburg race riot,"Hattlesburg, Mississippi",4-Aug-1919,unknown,unknown,from Dr. Haynes Oct 1919 report. Detail to be added.,http://goo.gl/fNI9j3,,-89.75036,32.75041
Texarkana race riot,"Texarkana, Texas",6-Aug-1919,unknown,unknown,from Dr. Haynes Oct 1919 report. Detail to be added.,http://goo.gl/fNI9j3,,-94.0763807,33.4462865
New York,"New York, New York",21-Aug-1919,unknown,unknown,from Dr. Haynes Oct 1919 report. Detail to be added.,http://goo.gl/fNI9j3,,-74.0060152,40.7127281
Ocmulgee race riot,"Ocmulgee, Georgia",29-Aug-1919,"1",unknown,from Dr. Haynes Oct 1919 report. Eli Cooper 'thought to have been leader among the negroes' was executed.,http://goo.gl/fNI9j3,,-82.5766722,31.9491366
Knoxville riot,"Knoxville, Tennessee",30-Aug-1919,Unknown,200+,Number of dead varies. From 2 to hundreds. Bodies apparently thrown into the river or buried in mass grave. Tennessee National Guard took part in the assualt on the African American neighbourhood.,https://goo.gl/UOTzRv,,-83.9210261,35.9603948
Omaha race riot,"Omaha, Nebraska",28-Sep-1919,2+,Unknown,"Between 5,000 and 15,000 white rioters surrounded courthouse. They succeeded in apprehending and then lynching Will Brown. Horrific photographs of his burning exist. They also attempted to hang the Mayor. The rioters stole up to 1,000 firearms while looting. Black citizens were indiscriminately dragged from street cars and beaten.",https://goo.gl/goQM0S,,-95.9383758,41.2587459
Hobson city race riot,"Hobson city, Alabama",26-Jul-1919,unknown,unknown,from Dr. Haynes Oct 1919 report. Detail to be added.,http://goo.gl/fNI9j3,,-85.8441318,33.6214934
New Orleans race riot,"New Orleans, Louisiana",23-Jul-1919,"0",unknown,"AP reported some kind of incident between blacks and whites, police intervened",http://goo.gl/fNI9j3,,-90.0701156,29.9499323
Syracuse race riot,"Syracuse, New York",21-Jul-1919,unknown,unknown,from Dr. Haynes Oct 1919 report. Detail to be added.,http://goo.gl/fNI9j3,,-76.1474244,43.0481221
Norfolk V.A. race riot,"Norfolk, Virginia",21-Jul-1919,"6",unknown,Homecoming of two black soldiers was suspended because of riots and the Marines were called in.,http://goo.gl/fNI9j3,,-76.2929252,36.8462923
Washington race riot,Washington D.C.,19-Jul-1919,"6",unknown,"50 wounded, riots went unchecked from 19-23-Jul",http://goo.gl/fNI9j3,,-77.0365427,38.8950368
Port Arthur race riot,"Port Arthur, Texas",15-Jul-1919,unknown,unknown,from Dr. Haynes Oct 1919 report. Detail to be added.,http://goo.gl/fNI9j3,,-93.9288723,29.8988618
Baltimore race riot,"Baltimore, Maryland",11-Jul-1919,unknown,unknown,from Dr. Haynes Oct 1919 report. Detail to be added.,http://goo.gl/fNI9j3,,-76.610759,39.2908816
Longview race riot,"Longview, Texas",10-Jul-1919,1+,unknown,"Start of Riot: ""About midnight a gang of twelve to fifteen white men, ranging in age from nineteen to forty, gathered at Bodie Park at he southwest corner of Tyler and Fredonia Streets.  As they talked about the events of the day they decided to pay Jones an unfriendly visit. About 1:00 a.m. they drove their cars into the black section of town to Jones’ house on the southeast corner of Harrison and College Streets.""",http://goo.gl/7jEiri,,-94.74049,32.5007031
Tuscaloosa race riot,"Tuscaloosa, Alabama",9-Jul-1919,unknown,unknown,from Dr. Haynes Oct 1919 report. Detail to be added.,http://goo.gl/fNI9j3,,-87.5675258,33.2095614
Coatesville,"Coatesville, Pennsylvania",8-Jul-1919,unknown,unknown,from Dr. Haynes Oct 1919 report. Detail to be added.,http://goo.gl/fNI9j3,,-75.8238355,39.9831616
Philidelphia race riot,"Philidelphia, Pennsylvania",7-Jul-1919,"0",unknown,6 arrests at a race riot at a carnival.,http://goo.gl/fNI9j3,,-74.979768,40.141501
Dublin Race riot,"Dublin, Georgia",6-Jul-1919,"2",unknown,from Dr. Haynes Oct 1919 report. Detail to be added.,http://goo.gl/fNI9j3,,-82.903754,32.5404447
Coweta race riot,"Coweta, Oklahoma",22-Oct-1911,2+,At least 100+ on the first night,African American population was reported to be 33% of the town in 1911. In 2000 it was just 4%. Further study needed.,http://goo.gl/MlrtHP,,-95.650814,35.9517674
Forsyth County Pogrom,"Forsyth County, Georgia",9-Oct-1912,1+,"1,000+","Campaign of terror across Northern Georgia, ""racial cleansing""; white mobs burnt black churches and homes. Those that employed black workers were threatened. Those who did not leave fast enough were told they would be shot. An estimated 98% of African Americans in the County had left by the time the campaign ended.",https://goo.gl/boM436,,-84.1335644,34.235309
Fayette riots,"Fayette, Mississippi",29-Sep-1913,"13",unknown,"Thirteen persons, including the sherriff and a constable, were killed in race riots here.",http://goo.gl/ev3fgf,,-91.0606607,31.7115534
Romeo riot,"Romeo, Michigan",9-Oct-1913,"1",unknown,"Romeo is given as being in Michigan, but also - erroneously I think - in Illinois",http://goo.gl/56s7en,,-83.0129874,42.802808
Stewart County whippings,"Stewart County, Tennessee",12-Feb-1915,"0",Unknown,"""In a night rider raid several negroes were brutally whipped [and] a [negro] church was burned.""",http://nwspprs.com/1hukj,,-87.8252756,36.5092672
New Madrid intimidations,"New Madrid, Missouri",20-Feb-1915,"0",300+,"""The negroes are warned to leave [the county] or be killed.""",http://goo.gl/WRGgLJ,,-89.6780945,36.5749606
Hayti intimidations,"Hayti, Missouri",4-Mar-1915,"0",Unknown,Whitecapping - campaign of intimidation. Notices posted in city ordering African Americans to leave and tells the white community not to employ African Americans.,http://goo.gl/qrtXyv,,-89.7495272,36.233679
Pauls Valley intimidations,"Pauls Valley, Oklahoma",17-Mar-1915,"0",Unknown,African American community threatened with violence by a white mob. This was an attempt to prevent them exercising their democratic franchise.,http://goo.gl/o5P2XF,,-97.2222451,34.7400809
Blakely killings,"Blakely, Georgia",30-Dec-1915,"8",Unknown,"After a white plantation overseer was apparently killed by two African Americans, a white posse was formed which proceeded to kill five in response as well as burning two African Americans to death in their cabin.",http://goo.gl/XwnN2W,,-84.9343388,31.3773475
Jackson Park Beach race riot,"Jackson Park beach, Stony Island Ave, Chicago",29-Jul-1916,Unknown,Unknown,"Headline: ""200 White men attack 10 Negro men and women while 3,000 watch.""",http://goo.gl/hjQ5Z4,,-87.65005,41.85003
Newberry Mass Lynching,"Newberry, Florida",19-Aug-1916,8+,Unknown,"In 1916 Constable George Wynne, a white man, was shot and killed by a black man named Boisey Long near Newberry. This killing led to the largest known lynching in Florida history when as many as eight blacks were murdered by rampaging whites.  Boisey Long temporarily escaped, was later found, tried and hung.  Most of those who were lynched were hung from a huge ""hanging tree"" in a place that is stilled called Lynch Hammock, stands on Highway 24 right outside the city.

Long's family members, including his pregnant wife Stella Young and unborn child, made up the majority of those lynched. Members of the powerful Dudley family were believed to have been involved in the mass killing as Constable Wynne was the brother of the matriarch of the Dudley family. Four of her sons and many other influential whites were photographed with the bodies of the victims.  The ropes used in the lynchings were reportedly tied in the kitchen of the Dudley farmhouse. The Dudley Farm is now a state park recreating early Florida Cracker life. ",http://florida-lynchings.com/newberry.html,,-82.6065023,29.6463535
El Dorado race riot,"El Dorado, Kansas",12-Dec-1916,Unknown,150+,"A white mob 300-strong was reported to be ""chasing negroes out of the city."" They destroyed black businesses and more than ""150 negroes were rounded up and driven from the city.""",http://nwspprs.com/1hk5r,,-96.8622524,37.81724
East St. Louis Massacre,"East St. Louis, Illinois",7-Feb-1917,100+,"6,000+","""This is a massacre that will go down in history as one of the bloodiest outrages against mankind for which any class of people could be held guilty."" - Marcus Garvey",http://goo.gl/NnR0VG,,-90.1509429,38.6244952
Chester race riot,"Chester, Pennsylvania",27-Jul-1917,"5",unknown,"3 African Americans and 2 whites were killed. Altercation between some individuals was superficial pretext for riot. According to the New York Times a ""white mob [invaded] the negro settlement."" Two African Americans seen mingling with white passengers in a trolley car were attacked, one of them shot dead.",http://goo.gl/gWDrF9,,-75.3557458,39.849557
Lexington riot,"Lexington, Kentucky",1-Sep-1917,"0",Unknown,At least ten African Americans injured after an altercation with the Kentucky National Guard.,http://goo.gl/3LBB2J,,-84.4970393,38.0464066
Dewey riot,"Dewey, Oklahoma",9-Jan-1918,"0",100+,"""In 1918 20 [African American] families were burnt out of Dewey in northeastern Oklahoma.."" this collective punishment apparently followed the killing of the local Marshal by an African American. ""Little Africa"" was burnt to the ground.",https://goo.gl/dJQU93,,-95.9355387,36.7959193
Philidelphia race attack,"Philadelphia, Pennsylvania",29-Jun-1918,"0",unknown,"small incident of 2 family homes being attacked and burned, first major incident lead to G. Grant
Williams, of the 'Philadelphia Tribune to write an editorial ""Dixie Methods in Philadelphia""",http://goo.gl/Ohg0yr,,-75.1635262,39.9527237
Philidelphia race riot,"Philidelphia, Pennsylvania",26-Jul-1918,"0",unknown,One white rioter (Joseph Kelly) shot by a 'Mrs. Adella Bond' whom the riots were targetting. Unrest lasted in the city until the 30th.,http://goo.gl/KQMkEm,,-74.979768,40.141501
Camp Merritt race riot,"Camp Merritt, New Jersey",18-Aug-1918,1+,Unknown,Riot for segregation at military camp,https://goo.gl/M8XGTc,,-74.49987,40.16706
Blakely race riot,"Blakely, Georgia",8-Feb-1919,"4",unknown,Blakely witnessed white on black violence due to prejudice against returning African American soldiers. Lynching of returning soldier William Little in April 1919.,http://goo.gl/3Hp6Di,,-84.9343388,31.3773475
Mullen race riot,"Mullen, Georgia",15-Apr-1919,"7",unknown,"""Seven reported killed in race riot""",http://query.nytimes.com/mem/archive-free/pdf?_r=1&res=9C04E7D61F30E033A25756C0A9669D946896D6CF&oref=slogin,,-84.4647069,34.1014741
Sylvester race riot,"Sylvester, Georgia",10-May-1919,"1",unknown,Mentioned in Dr. Haynes Oct 1919 report. Detail to be added.,http://query.nytimes.com/mem/archive-free/pdf?_r=1&res=9C04E7D61F30E033A25756C0A9669D946896D6CF&oref=slogin,,-83.8354542,31.5307349
Putnam race riot,"Putnam County, Georgia",29-May-1919,unknown,unknown,from Dr. Haynes Oct 1919 report. Detail to be added.,http://goo.gl/fNI9j3,,-83.3414172,33.3231504
Monticello race riots,"Monticello, Mississippi",31-May-1919,unknown,unknown,from Dr. Haynes Oct 1919 report. Detail to be added.,http://goo.gl/fNI9j3,,-90.1072865,31.5536678
New London race riot,"New London, Connecticut",13-Jun-1919,unknown,unknown,from Dr. Haynes Oct 1919 report. Detail to be added.,http://goo.gl/fNI9j3,,-72.0964372,41.331256
Bisbee riot (aka Battle of Brewery Gulch),"Bisbee, Arizona",3-Jul-1919,"0",unknown,"Conflict between Military Police and members of the 'Buffalo Soldiers'; 6+ wounded, 50+ African Americans arrested.",http://en.wikipedia.org/wiki/Bisbee_Riot,,-109.9284084,31.4481547
Macon race riots,"Macon, Mississippi",27-Jun-1919,unknown,unknown,from Dr. Haynes Oct 1919 report. Detail to be added.,http://goo.gl/fNI9j3,,-88.5608767,33.1054039
Annapolis race riot,"Annapolis, Maryland",27-Jun-1919,unknown,unknown,from Dr. Haynes Oct 1919 report. Detail to be added.,http://goo.gl/fNI9j3,,-76.492786,38.9786401
Pineville riot,"Pineville, Louisiana",21-Sep-1911,unknown,unknown,"""A mob of about 300 white people [demonstrated against the black community]...two negroes were shot, one of them seriously. A great many shots were fired and the negroes in Pineville were completely terrorized."" A unknown number left the town after this.",http://goo.gl/IUaZkV,,-92.4343035,31.3224044
The Cotton Seed Burnings,"Savannah, Tennessee",12-Aug-1911,"3",N/A,Three African Americans were burned alive tied to a wagon of cotton seed by a white mob who objected to their presence.,http://nwspprs.com/285ml,,-88.2492037,35.2248034
Harrison election whippings,"Harrison County, Texas",21-Jul-1911,"0",Unknown,"A campaign of terror in which groups of white men collectively punished, by whipping, African Americans to prevent them casting a vote in the election.",http://nwspprs.com/1hozt,,-94.3982158,32.5233959
Malaga Island,"Malaga Island, Maine",12-Jan-1911,"0",40+,"""Interracial"" (native American/black) settlement whose residents were forcibly removed by the state, using mental health as a pretext.",http://goo.gl/Bkz26B,,-70.6124551,42.9823097
Pike County whippings,"Pike County, Georgia",16-Dec-1910,2+,Unknown,A campaign of terror by white groups (White Caps or KKK) which resulted in 30 African Americans being whipped and told to leave the area. White terrorist group sought to control labour market.,http://nwspprs.com/1hphn,,-84.3969481,33.081484
Fayette whippings,"Fayette, Missouri",2-Nov-1903,"0",100+,A white mob took three African Americans (two women and one man) and whipped them publicly on the steps of the court house. Reports that 25 African American families fled the town.,http://nwspprs.com/1j9c7,,-92.6837943,39.1458654
Brookhaven assasination,"Brookhaven, Mississippi",21-Dec-1903,"1",Unknown,"""Eli Hudson, a negro, living eight miles from Brookhaven"" was murdered by a group whitecaps. They had previously ordered him to leave town but he refused. Oscar Franklin was later sentenced to life imprisonment for this murder.",http://goo.gl/H6ibIi,,-90.4406506,31.5790588
Normal City pogrom threat,"Muncie, Indianapolis",14-Jan-1904,"0",Unknown,The entire African American community was ordered to leave the town by a white mob or they would be lynched. They organised resistance groups. But the white mob backed down.,http://nwspprs.com/1jfe5,,-86.15804,39.76838
Springfield Race Riot,"Springfield, Illinois",6-Mar-1904,Unknown,Unknown,"""Between 2,000 and 2,500 white men surrounded prison"", the lynching that followed led to unrest. The African American district was set on fire.",https://goo.gl/dwRU4N,,-89.6439575,39.7990175
St Charles killings,"St. Charles, Arkansas",27-Mar-1904,"11",Unknown,"After a riot a white mob hunted down and killed eleven African Americans who were deemed ""objectionable""",http://nwspprs.com/1jfm3,,-91.1324227,34.375909
Memorial Day riot,"Reed Street, Philidelphia, Pennsylvania",30-May-1904,"0",Unknown,"A riot started after white pedestrians took issue with an African American band who carried a banner ""This is the day WE celebrate"".",http://nwspprs.com/1k6rw,,-75.145676,39.930049
Coal Creek Pogrom,"Coal Creek, Fremont County, Colorado",11-Jun-1904,"0",Unknown (100+?),"After the alleged killing of a white man by two African Americans, the white population ordered that all AAs should leave the town. Many followed this order.",http://cdnc.ucr.edu/cgi-bin/cdnc?a=d&d=LAH19041107.2.4&srpos=1&e=-------en--20--1-byDA-txt-txIN-%22Negroes+left+town%22------#,,-105.1483222,38.3611112
